date,food_item,quantity_sold,students_present,price,is_holiday,is_exam_day
2026-03-23,Idli,80,518,35,0,0
2026-03-23,Tea,201,518,12,0,0
2026-03-24,Samosa,179,498,22,0,0
2026-03-24,Vada Pav,115,498,20,0,0
2026-03-24,Poha,103,498,25,0,0
2026-03-24,Misal Pav,71,498,40,0,0
2026-03-24,Idli,93,498,35,0,0
2026-03-24,Tea,222,498,12,0,0
2026-03-25,Samosa,154,515,22,0,0
2026-03-25,Vada Pav,118,515,20,0,0
2026-03-25,Poha,101,515,25,0,0
2026-03-25,Misal Pav,74,515,40,0,0
2026-03-25,Idli,79,515,35,0,0
2026-03-25,Tea,196,515,12,0,0
2026-03-26,Samosa,175,525,22,0,0
2026-03-26,Vada Pav,126,525,20,0,0
2026-03-26,Poha,98,525,25,0,0
2026-03-26,Misal Pav,79,525,40,0,0
2026-03-26,Idli,97,525,35,0,0
2026-03-26,Tea,222,525,12,0,0
2026-03-27,Samosa,168,507,22,0,0
2026-03-27,Vada Pav,127,507,20,0,0
2026-03-27,Poha,109,507,25,0,0
2026-03-27,Misal Pav,78,507,40,0,0
2026-03-27,Idli,79,507,35,0,0
2026-03-27,Tea,193,507,12,0,0
2026-03-28,Samosa,124,379,22,0,0
2026-03-28,Vada Pav,81,379,20,0,0
2026-03-28,Poha,62,379,25,0,0
2026-03-28,Misal Pav,60,379,40,0,0
2026-03-28,Idli,51,379,35,0,0
2026-03-28,Tea,130,379,12,0,0
2026-03-29,Samosa,97,349,22,0,0
2026-03-29,Vada Pav,81,349,20,0,0
2026-03-29,Poha,63,349,25,0,0
2026-03-29,Misal Pav,52,349,40,0,0
2026-03-29,Idli,67,349,35,0,0
2026-03-29,Tea,144,349,12,0,0
2026-03-30,Samosa,132,539,22,0,0
2026-03-30,Vada Pav,125,539,20,0,0
2026-03-30,Poha,93,539,25,0,0
2026-03-30,Misal Pav,71,539,40,0,0
2026-03-30,Idli,83,539,35,0,0
2026-03-30,Tea,214,539,12,0,0
2026-03-31,Samosa,142,547,22,0,0
2026-03-31,Vada Pav,126,547,20,0,0
2026-03-31,Poha,96,547,25,0,0
2026-03-31,Misal Pav,77,547,40,0,0
2026-03-31,Idli,96,547,35,0,0
2026-03-31,Tea,230,547,12,0,0
2026-04-01,Samosa,181,560,22,0,0
2026-04-01,Vada Pav,139,560,20,0,0
2026-04-01,Poha,114,560,25,0,0
2026-04-01,Misal Pav,92,560,40,0,0
2026-04-01,Idli,104,560,35,0,0
2026-04-01,Tea,238,560,12,0,0
2026-04-02,Samosa,158,522,22,0,0
2026-04-02,Vada Pav,148,522,20,0,0
2026-04-02,Poha,113,522,25,0,0
2026-04-02,Misal Pav,72,522,40,0,0
2026-04-02,Idli,86,522,35,0,0
2026-04-02,Tea,193,522,12,0,0
2026-04-03,Samosa,158,502,22,0,0
2026-04-03,Vada Pav,135,502,20,0,0
2026-04-03,Poha,92,502,25,0,0
2026-04-03,Misal Pav,73,502,40,0,0
2026-04-03,Idli,72,502,35,0,0
2026-04-03,Tea,213,502,12,0,0
2026-04-04,Samosa,92,298,22,0,0
2026-04-04,Vada Pav,70,298,20,0,0
2026-04-04,Poha,61,298,25,0,0
2026-04-04,Misal Pav,38,298,40,0,0
2026-04-04,Idli,46,298,35,0,0
2026-04-04,Tea,174,298,12,0,0
2026-04-05,Samosa,85,291,22,0,0
2026-04-05,Vada Pav,96,291,20,0,0
2026-04-05,Poha,84,291,25,0,0
2026-04-05,Misal Pav,42,291,40,0,0
2026-04-05,Idli,53,291,35,0,0
2026-04-05,Tea,143,291,12,0,0
2026-04-06,Samosa,148,571,22,0,0
2026-04-06,Vada Pav,125,571,20,0,0
2026-04-06,Poha,107,571,25,0,0
2026-04-06,Misal Pav,82,571,40,0,0
2026-04-06,Idli,88,571,35,0,0
2026-04-06,Tea,221,571,12,0,0
2026-04-07,Samosa,149,478,22,0,0
2026-04-07,Vada Pav,119,478,20,0,0
2026-04-07,Poha,98,478,25,0,0
2026-04-07,Misal Pav,72,478,40,0,0
2026-04-07,Idli,89,478,35,0,0
2026-04-07,Tea,230,478,12,0,0
2026-04-08,Samosa,160,524,22,0,0
2026-04-08,Vada Pav,125,524,20,0,0
2026-04-08,Poha,98,524,25,0,0
2026-04-08,Misal Pav,73,524,40,0,0
2026-04-08,Idli,90,524,35,0,0
2026-04-08,Tea,216,524,12,0,0
2026-04-09,Samosa,179,582,22,0,0
2026-04-09,Vada Pav,132,582,20,0,0
2026-04-09,Poha,96,582,25,0,0
2026-04-09,Misal Pav,73,582,40,0,0
2026-04-09,Idli,99,582,35,0,0
2026-04-09,Tea,229,582,12,0,0
2026-04-10,Samosa,136,534,22,0,0
2026-04-10,Vada Pav,134,534,20,0,0
2026-04-10,Poha,102,534,25,0,0
2026-04-10,Misal Pav,71,534,40,0,0
2026-04-10,Idli,85,534,35,0,0
2026-04-10,Tea,224,534,12,0,0
2026-04-11,Samosa,97,331,22,0,0
2026-04-11,Vada Pav,79,331,20,0,0
2026-04-11,Poha,61,331,25,0,0
2026-04-11,Misal Pav,51,331,40,0,0
2026-04-11,Idli,67,331,35,0,0
2026-04-11,Tea,98,331,12,0,0
2026-04-12,Samosa,102,322,22,0,0
2026-04-12,Vada Pav,83,322,20,0,0
2026-04-12,Poha,60,322,25,0,0
2026-04-12,Misal Pav,39,322,40,0,0
2026-04-12,Idli,59,322,35,0,0
2026-04-12,Tea,169,322,12,0,0
2026-04-13,Samosa,162,473,22,0,0
2026-04-13,Vada Pav,118,473,20,0,0
2026-04-13,Poha,95,473,25,0,0
2026-04-13,Misal Pav,69,473,40,0,0
2026-04-13,Idli,83,473,35,0,0
2026-04-13,Tea,234,473,12,0,0
2026-04-14,Samosa,178,537,22,0,0
2026-04-14,Vada Pav,137,537,20,0,0
2026-04-14,Poha,102,537,25,0,0
2026-04-14,Misal Pav,89,537,40,0,0
2026-04-14,Idli,92,537,35,0,0
2026-04-14,Tea,234,537,12,0,0
2026-04-15,Samosa,155,511,22,0,0
2026-04-15,Vada Pav,117,511,20,0,0
2026-04-15,Poha,105,511,25,0,0
2026-04-15,Misal Pav,70,511,40,0,0
2026-04-15,Idli,93,511,35,0,0
2026-04-15,Tea,213,511,12,0,0
2026-04-16,Samosa,167,555,22,0,0
2026-04-16,Vada Pav,144,555,20,0,0
2026-04-16,Poha,106,555,25,0,0
2026-04-16,Misal Pav,69,555,40,0,0
2026-04-16,Idli,89,555,35,0,0
2026-04-16,Tea,202,555,12,0,0
2026-04-17,Samosa,172,504,22,0,0
2026-04-17,Vada Pav,129,504,20,0,0
2026-04-17,Poha,92,504,25,0,0
2026-04-17,Misal Pav,71,504,40,0,0
2026-04-17,Idli,87,504,35,0,0
2026-04-17,Tea,195,504,12,0,0
2026-04-18,Samosa,103,309,22,0,0
2026-04-18,Vada Pav,90,309,20,0,0
2026-04-18,Poha,67,309,25,0,0
2026-04-18,Misal Pav,36,309,40,0,0
2026-04-18,Idli,58,309,35,0,0
2026-04-18,Tea,140,309,12,0,0
2026-04-19,Samosa,120,342,22,0,0
2026-04-19,Vada Pav,61,342,20,0,0
2026-04-19,Poha,59,342,25,0,0
2026-04-19,Misal Pav,54,342,40,0,0
2026-04-19,Idli,46,342,35,0,0
2026-04-19,Tea,166,342,12,0,0
2026-04-20,Samosa,166,531,22,0,0
2026-04-20,Vada Pav,119,531,20,0,0
2026-04-20,Poha,105,531,25,0,0
2026-04-20,Misal Pav,84,531,40,0,0
2026-04-20,Idli,90,531,35,0,0
2026-04-20,Tea,223,531,12,0,0
2026-04-21,Samosa,146,528,22,0,0
2026-04-21,Vada Pav,123,528,20,0,0
2026-04-21,Poha,97,528,25,0,0
2026-04-21,Misal Pav,80,528,40,0,0
2026-04-21,Idli,95,528,35,0,0
2026-04-21,Tea,201,528,12,0,0
2026-04-22,Samosa,173,516,22,0,0
2026-04-22,Vada Pav,117,516,20,0,0
2026-04-22,Poha,92,516,25,0,0
2026-04-22,Misal Pav,78,516,40,0,0
2026-04-22,Idli,93,516,35,0,0
2026-04-22,Tea,217,516,12,0,0
2026-04-23,Samosa,169,559,22,0,0
2026-04-23,Vada Pav,135,559,20,0,0
2026-04-23,Poha,104,559,25,0,0
2026-04-23,Misal Pav,93,559,40,0,0
2026-04-23,Idli,88,559,35,0,0
2026-04-23,Tea,189,559,12,0,0
2026-04-24,Samosa,154,568,22,0,0
2026-04-24,Vada Pav,128,568,20,0,0
2026-04-24,Poha,111,568,25,0,0
2026-04-24,Misal Pav,70,568,40,0,0
2026-04-24,Idli,82,568,35,0,0
2026-04-24,Tea,196,568,12,0,0
2026-04-25,Samosa,104,306,22,0,0
2026-04-25,Vada Pav,84,306,20,0,0
2026-04-25,Poha,65,306,25,0,0
2026-04-25,Misal Pav,41,306,40,0,0
2026-04-25,Idli,40,306,35,0,0
2026-04-25,Tea,140,306,12,0,0
2026-04-26,Samosa,105,315,22,0,0
2026-04-26,Vada Pav,86,315,20,0,0
2026-04-26,Poha,64,315,25,0,0
2026-04-26,Misal Pav,54,315,40,0,0
2026-04-26,Idli,58,315,35,0,0
2026-04-26,Tea,148,315,12,0,0
2026-04-27,Samosa,151,498,22,0,0
2026-04-27,Vada Pav,125,498,20,0,0
2026-04-27,Poha,103,498,25,0,0
2026-04-27,Misal Pav,74,498,40,0,0
2026-04-27,Idli,90,498,35,0,0
2026-04-27,Tea,211,498,12,0,0
2026-04-28,Samosa,165,516,22,0,0
2026-04-28,Vada Pav,105,516,20,0,0
2026-04-28,Poha,88,516,25,0,0
2026-04-28,Misal Pav,68,516,40,0,0
2026-04-28,Idli,72,516,35,0,0
2026-04-28,Tea,206,516,12,0,0
2026-04-29,Samosa,154,542,22,0,0
2026-04-29,Vada Pav,128,542,20,0,0
2026-04-29,Poha,108,542,25,0,0
2026-04-29,Misal Pav,86,542,40,0,0
2026-04-29,Idli,88,542,35,0,0
2026-04-29,Tea,243,542,12,0,0
2026-04-30,Samosa,145,522,22,0,0
2026-04-30,Vada Pav,119,522,20,0,0
2026-04-30,Poha,87,522,25,0,0
2026-04-30,Misal Pav,72,522,40,0,0
2026-04-30,Idli,85,522,35,0,0
2026-04-30,Tea,231,522,12,0,0
2026-05-01,Samosa,143,571,22,0,0
2026-05-01,Vada Pav,131,571,20,0,0
2026-05-01,Poha,93,571,25,0,0
2026-05-01,Misal Pav,82,571,40,0,0
2026-05-01,Idli,89,571,35,0,0
2026-05-01,Tea,193,571,12,0,0
2026-05-02,Samosa,110,357,22,0,0
2026-05-02,Vada Pav,89,357,20,0,0
2026-05-02,Poha,66,357,25,0,0
2026-05-02,Misal Pav,54,357,40,0,0
2026-05-02,Idli,69,357,35,0,0
2026-05-02,Tea,161,357,12,0,0
2026-05-03,Samosa,105,339,22,0,0
2026-05-03,Vada Pav,93,339,20,0,0
2026-05-03,Poha,61,339,25,0,0
2026-05-03,Misal Pav,41,339,40,0,0
2026-05-03,Idli,64,339,35,0,0
2026-05-03,Tea,136,339,12,0,0
2026-05-04,Samosa,163,553,22,0,0
2026-05-04,Vada Pav,125,553,20,0,0
2026-05-04,Poha,103,553,25,0,0
2026-05-04,Misal Pav,90,553,40,0,0
2026-05-04,Idli,103,553,35,0,0
2026-05-04,Tea,223,553,12,0,0
2026-05-05,Samosa,169,524,22,0,0
2026-05-05,Vada Pav,116,524,20,0,0
2026-05-05,Poha,101,524,25,0,0
2026-05-05,Misal Pav,77,524,40,0,0
2026-05-05,Idli,90,524,35,0,0
2026-05-05,Tea,204,524,12,0,0
2026-05-06,Samosa,126,472,22,0,0
2026-05-06,Vada Pav,110,472,20,0,0
2026-05-06,Poha,92,472,25,0,0
2026-05-06,Misal Pav,74,472,40,0,0
2026-05-06,Idli,99,472,35,0,0
2026-05-06,Tea,231,472,12,0,0
2026-05-07,Samosa,157,491,22,0,0
2026-05-07,Vada Pav,118,491,20,0,0
2026-05-07,Poha,95,491,25,0,0
2026-05-07,Misal Pav,77,491,40,0,0
2026-05-07,Idli,91,491,35,0,0
2026-05-07,Tea,209,491,12,0,0
2026-05-08,Samosa,144,551,22,0,0
2026-05-08,Vada Pav,126,551,20,0,0
2026-05-08,Poha,120,551,25,0,0
2026-05-08,Misal Pav,80,551,40,0,0
2026-05-08,Idli,99,551,35,0,0
2026-05-08,Tea,223,551,12,0,0
2026-05-09,Samosa,101,347,22,0,0
2026-05-09,Vada Pav,79,347,20,0,0
2026-05-09,Poha,58,347,25,0,0
2026-05-09,Misal Pav,53,347,40,0,0
2026-05-09,Idli,51,347,35,0,0
2026-05-09,Tea,153,347,12,0,0
2026-05-10,Samosa,107,362,22,0,0
2026-05-10,Vada Pav,79,362,20,0,0
2026-05-10,Poha,68,362,25,0,0
2026-05-10,Misal Pav,49,362,40,0,0
2026-05-10,Idli,64,362,35,0,0
2026-05-10,Tea,113,362,12,0,0
2026-05-11,Samosa,131,509,22,0,0
2026-05-11,Vada Pav,109,509,20,0,0
2026-05-11,Poha,108,509,25,0,0
2026-05-11,Misal Pav,82,509,40,0,0
2026-05-11,Idli,82,509,35,0,0
2026-05-11,Tea,191,509,12,0,0
2026-05-12,Samosa,141,431,22,0,0
2026-05-12,Vada Pav,141,431,20,0,0
2026-05-12,Poha,97,431,25,0,0
2026-05-12,Misal Pav,70,431,40,0,0
2026-05-12,Idli,87,431,35,0,0
2026-05-12,Tea,181,431,12,0,0
2026-05-13,Samosa,156,511,22,0,0
2026-05-13,Vada Pav,123,511,20,0,0
2026-05-13,Poha,104,511,25,0,0
2026-05-13,Misal Pav,79,511,40,0,0
2026-05-13,Idli,92,511,35,0,0
2026-05-13,Tea,205,511,12,0,0
2026-05-14,Samosa,177,546,22,0,0
2026-05-14,Vada Pav,117,546,20,0,0
2026-05-14,Poha,93,546,25,0,0
2026-05-14,Misal Pav,87,546,40,0,0
2026-05-14,Idli,88,546,35,0,0
2026-05-14,Tea,244,546,12,0,0
2026-05-15,Samosa,172,506,22,0,0
2026-05-15,Vada Pav,124,506,20,0,0
2026-05-15,Poha,99,506,25,0,0
2026-05-15,Misal Pav,86,506,40,0,0
2026-05-15,Idli,85,506,35,0,0
2026-05-15,Tea,200,506,12,0,0
2026-05-16,Samosa,105,316,22,0,0
2026-05-16,Vada Pav,64,316,20,0,0
2026-05-16,Poha,68,316,25,0,0
2026-05-16,Misal Pav,46,316,40,0,0
2026-05-16,Idli,64,316,35,0,0
2026-05-16,Tea,99,316,12,0,0
2026-05-17,Samosa,79,306,22,0,0
2026-05-17,Vada Pav,71,306,20,0,0
2026-05-17,Poha,64,306,25,0,0
2026-05-17,Misal Pav,48,306,40,0,0
2026-05-17,Idli,54,306,35,0,0
2026-05-17,Tea,136,306,12,0,0
2026-05-18,Samosa,144,526,22,0,0
2026-05-18,Vada Pav,131,526,20,0,0
2026-05-18,Poha,104,526,25,0,0
2026-05-18,Misal Pav,80,526,40,0,0
2026-05-18,Idli,92,526,35,0,0
2026-05-18,Tea,223,526,12,0,0
2026-05-19,Samosa,159,581,22,0,0
2026-05-19,Vada Pav,125,581,20,0,0
2026-05-19,Poha,96,581,25,0,0
2026-05-19,Misal Pav,74,581,40,0,0
2026-05-19,Idli,82,581,35,0,0
2026-05-19,Tea,210,581,12,0,0
2026-05-20,Samosa,159,517,22,0,0
2026-05-20,Vada Pav,124,517,20,0,0
2026-05-20,Poha,92,517,25,0,0
2026-05-20,Misal Pav,83,517,40,0,0
2026-05-20,Idli,93,517,35,0,0
2026-05-20,Tea,215,517,12,0,0
2026-05-21,Samosa,160,500,22,0,0
2026-05-21,Vada Pav,125,500,20,0,0
2026-05-21,Poha,86,500,25,0,0
2026-05-21,Misal Pav,76,500,40,0,0
2026-05-21,Idli,89,500,35,0,0
2026-05-21,Tea,200,500,12,0,0
2026-05-22,Samosa,138,525,22,0,0
2026-05-22,Vada Pav,137,525,20,0,0
2026-05-22,Poha,108,525,25,0,0
2026-05-22,Misal Pav,76,525,40,0,0
2026-05-22,Idli,91,525,35,0,0
2026-05-22,Tea,178,525,12,0,0
2026-05-23,Samosa,95,295,22,0,0
2026-05-23,Vada Pav,68,295,20,0,0
2026-05-23,Poha,67,295,25,0,0
2026-05-23,Misal Pav,61,295,40,0,0
2026-05-23,Idli,47,295,35,0,0
2026-05-23,Tea,124,295,12,0,0
2026-05-24,Samosa,120,337,22,0,0
2026-05-24,Vada Pav,69,337,20,0,0
2026-05-24,Poha,65,337,25,0,0
2026-05-24,Misal Pav,61,337,40,0,0
2026-05-24,Idli,46,337,35,0,0
2026-05-24,Tea,120,337,12,0,0
2026-05-25,Samosa,148,507,22,0,0
2026-05-25,Vada Pav,131,507,20,0,0
2026-05-25,Poha,99,507,25,0,0
2026-05-25,Misal Pav,66,507,40,0,0
2026-05-25,Idli,91,507,35,0,0
2026-05-25,Tea,206,507,12,0,0
2026-05-26,Samosa,151,558,22,0,0
2026-05-26,Vada Pav,121,558,20,0,0
2026-05-26,Poha,104,558,25,0,0
2026-05-26,Misal Pav,84,558,40,0,0
2026-05-26,Idli,93,558,35,0,0
2026-05-26,Tea,194,558,12,0,0
2026-05-27,Samosa,144,536,22,0,0
2026-05-27,Vada Pav,127,536,20,0,0
2026-05-27,Poha,88,536,25,0,0
2026-05-27,Misal Pav,81,536,40,0,0
2026-05-27,Idli,83,536,35,0,0
2026-05-27,Tea,198,536,12,0,0
2026-05-28,Samosa,160,541,22,0,0
2026-05-28,Vada Pav,120,541,20,0,0
2026-05-28,Poha,110,541,25,0,0
2026-05-28,Misal Pav,76,541,40,0,0
2026-05-28,Idli,89,541,35,0,0
2026-05-28,Tea,225,541,12,0,0
2026-05-29,Samosa,159,501,22,0,0
2026-05-29,Vada Pav,118,501,20,0,0
2026-05-29,Poha,94,501,25,0,0
2026-05-29,Misal Pav,85,501,40,0,0
2026-05-29,Idli,80,501,35,0,0
2026-05-29,Tea,175,501,12,0,0
2026-05-30,Samosa,134,378,22,0,0
2026-05-30,Vada Pav,79,378,20,0,0
2026-05-30,Poha,50,378,25,0,0
2026-05-30,Misal Pav,49,378,40,0,0
2026-05-30,Idli,56,378,35,0,0
2026-05-30,Tea,141,378,12,0,0
2026-05-31,Samosa,105,296,22,0,0
2026-05-31,Vada Pav,84,296,20,0,0
2026-05-31,Poha,51,296,25,0,0
2026-05-31,Misal Pav,53,296,40,0,0
2026-05-31,Idli,69,296,35,0,0
2026-05-31,Tea,141,296,12,0,0
2026-06-01,Samosa,153,509,22,0,0
2026-06-01,Vada Pav,129,509,20,0,0
2026-06-01,Poha,84,509,25,0,0
2026-06-01,Misal Pav,78,509,40,0,0
2026-06-01,Idli,85,509,35,0,0
2026-06-01,Tea,247,509,12,0,0
2026-06-02,Samosa,198,514,22,0,0
2026-06-02,Vada Pav,132,514,20,0,0
2026-06-02,Poha,117,514,25,0,0
2026-06-02,Misal Pav,91,514,40,0,0
2026-06-02,Idli,95,514,35,0,0
2026-06-02,Tea,253,514,12,0,0
2026-06-03,Samosa,154,556,22,0,0
2026-06-03,Vada Pav,110,556,20,0,0
2026-06-03,Poha,100,556,25,0,0
2026-06-03,Misal Pav,74,556,40,0,0
2026-06-03,Idli,87,556,35,0,0
2026-06-03,Tea,220,556,12,0,0
2026-06-04,Samosa,132,468,22,0,0
2026-06-04,Vada Pav,125,468,20,0,0
2026-06-04,Poha,91,468,25,0,0
2026-06-04,Misal Pav,60,468,40,0,0
2026-06-04,Idli,91,468,35,0,0
2026-06-04,Tea,216,468,12,0,0
2026-06-05,Samosa,138,498,22,0,0
2026-06-05,Vada Pav,131,498,20,0,0
2026-06-05,Poha,100,498,25,0,0
2026-06-05,Misal Pav,91,498,40,0,0
2026-06-05,Idli,90,498,35,0,0
2026-06-05,Tea,222,498,12,0,0
2026-06-06,Samosa,110,324,22,0,0
2026-06-06,Vada Pav,86,324,20,0,0
2026-06-06,Poha,73,324,25,0,0
2026-06-06,Misal Pav,47,324,40,0,0
2026-06-06,Idli,53,324,35,0,0
2026-06-06,Tea,132,324,12,0,0
2026-06-07,Samosa,120,353,22,0,0
2026-06-07,Vada Pav,77,353,20,0,0
2026-06-07,Poha,61,353,25,0,0
2026-06-07,Misal Pav,52,353,40,0,0
2026-06-07,Idli,56,353,35,0,0
2026-06-07,Tea,159,353,12,0,0
2026-06-08,Samosa,140,452,22,0,0
2026-06-08,Vada Pav,112,452,20,0,0
2026-06-08,Poha,77,452,25,0,0
2026-06-08,Misal Pav,69,452,40,0,0
2026-06-08,Idli,78,452,35,0,0
2026-06-08,Tea,206,452,12,0,0
2026-06-09,Samosa,155,553,22,0,0
2026-06-09,Vada Pav,116,553,20,0,0
2026-06-09,Poha,100,553,25,0,0
2026-06-09,Misal Pav,85,553,40,0,0
2026-06-09,Idli,83,553,35,0,0
2026-06-09,Tea,206,553,12,0,0
2026-06-10,Samosa,154,536,22,0,0
2026-06-10,Vada Pav,131,536,20,0,0
2026-06-10,Poha,99,536,25,0,0
2026-06-10,Misal Pav,82,536,40,0,0
2026-06-10,Idli,82,536,35,0,0
2026-06-10,Tea,219,536,12,0,0
2026-06-11,Samosa,140,513,22,0,0
2026-06-11,Vada Pav,109,513,20,0,0
2026-06-11,Poha,103,513,25,0,0
2026-06-11,Misal Pav,75,513,40,0,0
2026-06-11,Idli,81,513,35,0,0
2026-06-11,Tea,215,513,12,0,0
2026-06-12,Samosa,131,553,22,0,0
2026-06-12,Vada Pav,112,553,20,0,0
2026-06-12,Poha,93,553,25,0,0
2026-06-12,Misal Pav,88,553,40,0,0
2026-06-12,Idli,91,553,35,0,0
2026-06-12,Tea,234,553,12,0,0
2026-06-13,Samosa,85,295,22,0,0
2026-06-13,Vada Pav,83,295,20,0,0
2026-06-13,Poha,62,295,25,0,0
2026-06-13,Misal Pav,52,295,40,0,0
